Date,Close,High,Low,Open,Volume
2015-01-02,171.56802368164062,172.77902371836475,170.52406692143902,172.36144101428408,121465900
2015-01-05,168.46954345703125,170.6827263799095,168.1605363774323,170.51569587049414,169632600
2015-01-06,166.88278198242188,169.30475691705445,166.08101746806065,168.77859855626696,209151400
2015-01-07,168.96234130859375,169.30476224444016,167.7680606824761,168.21904447475998,125346700
2015-01-08,171.9605255126953,172.17767664072198,170.365369518066,170.3820636482136,147217800
2015-01-09,170.58255004882812,172.3948576192564,169.96452300317785,172.3781507413702,158567300
2015-01-12,169.24632263183594,170.8749059284918,168.63665524400443,170.7162224078029,144396100
2015-01-13,168.77027893066406,171.6098370911591,167.45906272109025,170.47401127823775,214553300
2015-01-14,167.75137329101562,167.95181763510263,165.8388495560327,166.74081724538297,192991100
2015-01-15,166.21458435058594,168.71172018291452,166.09766173044625,168.39436606745525,176613900
2015-01-16,168.39442443847656,168.553107923016,165.822113160146,166.0058505902849,211879600
2015-01-20,168.75347900390625,169.30469109675988,167.17501727881418,169.03743211466974,130991100
2015-01-21,169.60536193847656,170.08975931682033,167.81810879805465,168.28579930304574,122942700
2015-01-22,172.1276092529297,172.26122604359531,168.9790318483948,170.36540959341283,174356000
2015-01-23,171.18385314941406,172.1275941298769,171.05022362687527,171.86868215110323,117516800
2015-01-26,171.5847625732422,171.6766312950258,170.24850531702558,170.9667482118025,92009700
2015-01-27,169.32147216796875,170.4739919883554,168.4863065983709,169.513556680764,134044600
2015-01-28,167.15000915527344,170.61594060279583,166.957924674005,170.51572482884936,168514300
2015-01-29,168.69505310058594,168.9539523192891,165.9306450961963,167.35043638159473,173585400
2015-01-30,166.57379150390625,168.8454431617669,166.30654511430805,167.50918572654214,197729700
2015-02-02,168.63661193847656,168.7284806508828,165.24584213375974,167.07485657118428,163107000
2015-02-03,171.07533264160156,171.08369245420934,169.1628088660886,169.53863086855168,124212900
2015-02-04,170.4238739013672,171.5262985042438,169.96453031683527,170.30695123836037,134306700
2015-02-05,172.144287109375,172.29462350712728,171.0168214724895,171.09198329955936,97953200
2015-02-06,171.66822814941406,173.07965953047488,171.14206993801932,172.51174050579922,125672000
2015-02-09,170.89993286132812,171.74344549041408,170.4906971486506,171.01685553014812,87219000
2015-02-10,172.72055053710938,172.97944976643848,170.9416441962693,171.9438528491221,96164200
2015-02-11,172.82080078125,173.2550904345492,171.90212632435026,172.5535544324916,91087800
2015-02-12,174.48277282714844,174.54124052844537,172.85420266863906,173.62255339102262,97545900
2015-02-13,175.20103454589844,175.25114244177516,174.34916208514775,174.6080741198699,93670400
2015-02-17,175.4766387939453,175.65202917120735,174.633126154161,174.88366563079921,76968200
